word,article,plural,translation,example sentence normal,example sentence plural
Tabelle,die,-n,table,Bitte füll die Tabelle aus. (Please fill in the table.),Die Tabellen im Bericht sind übersichtlich. (The tables in the report are clear.)  
Tablette,die,-n,tablet,Die Tablette nimmt man nach dem Essen. (Take the tablet after eating.),Die Tabletten sind in der Apotheke erhältlich. (The tablets are available at the pharmacy.)  
Tafel (1),die,-n,board,Schreibe deinen Namen an die Tafel. (Write your name on the board.),  
Tafel (2),die,-n,shelf,Die Töpfe stehen auf der Tafel. (The pots stand on the shelf.),  
Tag,der,-e,day,Der Tag war schön und sonnig. (The day was beautiful and sunny.),Die Tage im Urlaub vergingen schnell. (The days on vacation passed quickly.)  
Täglichezeit,die,-en,daily time,Die tägliche Zeit für Nachrichten ist kurz. (The daily time for news is short.),Die täglichen Zeiten ändern sich im Programm. (The daily times change in the schedule.)  
tatsächlich,-,-,actually,Ich habe es tatsächlich geschafft. (I actually managed it.),  
tausend,-,-,thousand,Das Konzert hatte tausend Besucher. (The concert had a thousand visitors.),  
Taxi,das,-s,taxi,Ich nehme ein Taxi zum Flughafen. (I take a taxi to the airport.),  
Taxifahrer,der,-,taxi driver,Der Taxifahrer kennt die Stadt gut. (The taxi driver knows the city well.),Die Taxifahrer haben viel Erfahrung. (The taxi drivers have a lot of experience.)  
Taxifahrerin,die,-nen,taxi driver (female),Die Taxifahrerin war sehr freundlich. (The female taxi driver was very friendly.),Die Taxifahrerinnen fahren oft lange Strecken. (The female taxi drivers often drive long distances.)  
Taxifahrt,die,-en,taxi ride,Die Taxifahrt dauerte nur zehn Minuten. (The taxi ride took only ten minutes.),Die Taxifahrten sind nachts teurer. (The taxi rides are more expensive at night.)  
Team,das,-s,team,Unser Team gewinnt oft. (Our team often wins.),Die Teams bereiten sich auf das Finale vor. (The teams are preparing for the final.)  
Technik,die,-en,technology,Die Technik funktioniert einwandfrei. (The technology works perfectly.),Die Techniken in der Fertigung werden ständig verbessert. (The techniques in manufacturing are constantly being improved.)  
Techniker,der,-,technician (male),Der Techniker repariert die Waschmaschine. (The technician is repairing the washing machine.),Die Techniker kümmern sich um die Wartung. (The technicians take care of the maintenance.)  
Technikerin,die,-nen,technician (female),Die Technikerin überprüft das Gerät. (The female technician checks the device.),Die Technikerinnen arbeiten im Labor. (The female technicians work in the lab.)  
Tee,der,-s,tea,Ich trinke grünen Tee morgens. (I drink green tea in the morning.),  
Teil,der,-e,part,Dieser Teil des Projekts ist abgeschlossen. (This part of the project is complete.),Die Teile des Modells passen gut zusammen. (The parts of the model fit together well.)  
Telefon,das,-e,telephone,Das Telefon klingelt laut. (The telephone rings loudly.),Die Telefone im Büro sind schnell besetzt. (The telephones in the office are quickly busy.)  
Telefongespräch,das,-e,phone conversation,Das Telefongespräch mit meiner Mutter war sehr lang. (The phone conversation with my mother was very long.),Die Telefongespräche sind manchmal teuer. (The phone conversations are sometimes expensive.)  
telefonieren,-,-,to phone,Ich telefoniere jeden Abend mit meiner Schwester. (I phone my sister every evening.),  
Telefonnummer,die,-n,phone number,Meine Telefonnummer hat zehn Ziffern. (My phone number has ten digits.),Die Telefonnummern sind im Telefonbuch gelistet. (The phone numbers are listed in the phone book.)  
Teller,der,-e,plate,Der Teller ist aus Porzellan. (The plate is made of porcelain.),Die Teller stehen schon auf dem Tisch. (The plates are already on the table.)  
Tennis,-,-,tennis,Ich spiele gern Tennis. (I like playing tennis.),  
Tennisplatz,der,-e,tennis court,Der Tennisplatz ist hinter der Schule. (The tennis court is behind the school.),Die Tennisplätze sind heute alle belegt. (The tennis courts are all occupied today.)  
Teppich,der,-e,carpet,Der Teppich im Wohnzimmer ist bunt. (The carpet in the living room is colorful.),Die Teppiche müssen heute gereinigt werden. (The carpets have to be cleaned today.)  
Termin,der,-e,appointment,Ich habe einen Termin beim Arzt. (I have an appointment with the doctor.),Die Termine für nächste Woche stehen fest. (The appointments for next week are set.)  
Terrasse,die,-n,terrace,Wir frühstücken auf der Terrasse. (We have breakfast on the terrace.),Die Terrassen sind möbliert. (The terraces are furnished.)  
Test,der,-s,test,Der Test war nicht so schwer. (The test wasn’t that hard.),Die Tests werden morgen korrigiert. (The tests will be graded tomorrow.)  
teuer,-,-,expensive,Das Auto ist sehr teuer. (The car is very expensive.),  
Text,der,-e,text,Der Text ist gut geschrieben. (The text is well written.),Die Texte im Kursbuch sind lehrreich. (The texts in the course book are informative.)  
Textbaustein,der,-e,text block,Der Textbaustein hilft beim Schreiben von Briefen. (The text block helps when writing letters.),Die Textbausteine machen das Formulieren einfacher. (The text blocks make phrasing easier.)  
Thailand,-,-,Thailand,Thailand ist ein beliebtes Reiseziel. (Thailand is a popular travel destination.),  
Theater,das,-,theater,Wir gehen ins Theater. (We are going to the theater.), Die Theater in der Stadt sind sehr bekannt. (The theaters in the city are very well-known.)
Theater-Festival,das,-s,theater festival,Das Theater-Festival startet im Juli. (The theater festival starts in July.),Die Theater-Festivals ziehen viele Besucher an. (The theater festivals attract many visitors.)  
Thema,das,Themen,topic,Das Thema interessiert mich sehr. (The topic really interests me.),Die Themen der Workshops variieren. (The topics of the workshops vary.)  
thematisch,-,-,thematic,Die Ausstellung ist thematisch geordnet. (The exhibition is arranged thematically.),  
Therapeut,der,-en,therapist (male),Der Therapeut hilft mir bei meinen Problemen. (The therapist helps me with my problems.),Die Therapeuten in dieser Klinik sind sehr freundlich. (The therapists in this clinic are very friendly.)  
Therapeutin,die,-nen,therapist (female),Die Therapeutin hört mir immer gut zu. (The therapist always listens to me well.),Die Therapeutinnen arbeiten oft im Team. (The therapists often work in teams.)  
Ticket,das,-s,ticket,Das Ticket kostet zehn Euro pro Person. (The ticket costs ten euros per person.),  
Ticketkauf,der,-e,ticket purchase,Der Ticketkauf war ganz einfach. (The ticket purchase was very easy.),Die Ticketkäufe werden digital gespeichert. (The ticket purchases are stored digitally.)  
Tipp,der,-s,tip,Gib mir einen Tipp für das Spiel. (Give me a tip for the game.),  
Tisch,der,-e,table,Der Tisch ist aus Holz gemacht. (The table is made of wood.),Die Tische im Restaurant sind reserviert. (The tables in the restaurant are reserved.)  
Tochter,die,-n,daughter,Meine Tochter liest gern. (My daughter likes to read.),Die Töchter wohnen im Ausland. (The daughters live abroad.)  
Toilette,die,-n,toilet,Die Toilette ist da vorne. (The toilet is over there.),Die Toiletten sind barrierefrei. (The toilets are wheelchair accessible.)  
Tomate,die,-n,tomato,Ich schneide eine Tomate. (I cut a tomato.),Die Tomaten im Garten sind reif. (The tomatoes in the garden are ripe.)  
Tomatensuppe,die,-n,tomato soup,Die Tomatensuppe ist heiß. (The tomato soup is hot.),  
Top,-,-,top,Das Top passt gut zu Jeans. (The top goes well with jeans.),  
topaktuell,-,-,very current, up-to-date,Die Nachrichten sind topaktuell. (The news is very current.),  
total,-,-,total,Ich bin total begeistert. (I am totally thrilled.),  
Tour,die,-en,tour,Wir machen eine Tour durch die Stadt. (We’re doing a tour through the city.),Die Touren dauern etwa zwei Stunden. (The tours last about two hours.)  
tragen,-,-,to carry,Er trägt die Einkaufstaschen. (He carries the shopping bags.),  
trainieren,-,-,to train,Wir trainieren dreimal pro Woche. (We train three times a week.),  
Training,das,-s,training,Das Training beginnt um 18 Uhr. (The training starts at 6 p.m.),Die Trainings sind sehr intensiv. (The training sessions are very intense.)  
Trạm,die/das,-s,station (Vietnamese),Die Trạm liegt im Stadtzentrum. (The station is in the city center.),  
Traum,der,-e,dream,Ich habe einen schönen Traum gehabt. (I had a beautiful dream.),  
Traumurlaub,der,-e,dream vacation,Ein Traumurlaub am Meer wäre perfekt. (A dream vacation by the sea would be perfect.),  
treffen,-,-,to meet,Wir treffen uns um fünf Uhr. (We meet at five o’clock.),  
Treffpunkt,der,-e,meeting point,Der Treffpunkt ist am Bahnhof. (The meeting point is at the station.),Die Treffpunkte sind auf der Karte markiert. (The meeting points are marked on the map.)  
Trendstadt,die,-e,trend city,Berlin gilt als Trendstadt. (Berlin is considered a trend city.),Die Trendstädte ziehen viele junge Menschen an. (The trend cities attract many young people.)  
trennbar,-,-,separable (verbs),Das Verb „aufstehen“ ist trennbar. (The verb “aufstehen” is separable.),  
Trệppe,die,-n,stairs,Die Trệppe im Haus knarrt. (The stairs in the house creak.),Die Trệppen sind steil. (The stairs are steep.)  
um (1),-,-,around (time: around seven),Wir treffen uns um sieben. (We meet at around seven.),  
um (2),-,-,for, request (e.g. excuse),Er bittet um Entschuldigung. (He asks for forgiveness.),  
Umlaut,der,-e,umlaut (vowel change),Der Umlaut ist typisch für Deutsch. (The umlaut is typical for German.),Die Umlaute verändern die Aussprache. (The umlauts change the pronunciation.)  
umsteigen,-,-,to change (trains),In Frankfurt muss ich umsteigen. (I have to change trains in Frankfurt.),  
umtauschen,-,-,to exchange,Ich möchte das T-Shirt umtauschen. (I’d like to exchange the T-shirt.),  
umziehen,-,-,to move (house),Wir ziehen nächsten Monat um. (We’re moving house next month.),  
Umzug,der,-e,move (moving house),Der Umzug war sehr stressig. (The move was very stressful.),Die Umzüge sind immer viel Arbeit. (The moves are always a lot of work.)  
unbestimmt,-,-,indefinite,Ein unbestimmter Artikel fehlt hier. (An indefinite article is missing here.),  
und,-,-,and,Ich kaufe Brot und Milch. (I’m buying bread and milk.),  
Unfall,der,-e,accident,Der Unfall war zum Glück nicht schlimm. (The accident wasn’t serious, fortunately.),Die Unfälle passieren oft im Winter. (Accidents often happen in winter.)  
Ungarisch,-,-,Hungarian,Ich lerne Ungarisch. (I am learning Hungarian.),  
ungefähr,-,-,approximately,Die Reise dauert ungefähr zwei Stunden. (The journey takes approximately two hours.),  
Theater,-,-,theater,Das Theater ist sehr bekannt. (The theater is very well-known.),
trinken,-,-,to drink,Ich trinke jeden Morgen Kaffee. (I drink coffee every morning.),  
Trinkgeld,das,-er,tip (money),Ich gebe dem Kellner Trinkgeld. (I give the waiter a tip.),Die Trinkgelder sind willkommen. (Tips are appreciated.)  
Trompete,die,-n,trumpet,Die Trompete ist laut. (The trumpet is loud.),Die Trompeten sind aus Messing. (The trumpets are made of brass.)  
Trompetenunterricht,der,(Sg.),trumpet lessons,Der Trompetenunterricht beginnt um fünf Uhr. (The trumpet lessons start at five o’clock.),  
Tropfen,der,-,drop (liquid),Ein Tropfen Öl reicht aus. (One drop of oil is enough.),  
tschüs,-,-,bye,Tschüs, bis morgen! (Bye, see you tomorrow!),  
T-Shirt,das,-s,T-shirt,Ich trage ein weißes T-Shirt. (I’m wearing a white T-shirt.),  
Tuch,das,-er,cloth,Das Tuch ist aus Seide. (The cloth is made of silk.),Die Tücher sind in verschiedenen Farben erhältlich. (The cloths are available in various colors.)  
tun,-,-,to do,Was soll ich tun? (What should I do?),  
Tür,die,-en,door,Die Tür steht offen. (The door is open.),Die Türen sind abschließbar. (The doors can be locked.)  
Türkei,die,(Sg.),Turkey,Die Türkei ist ein schönes Land. (Turkey is a beautiful country.),  
Türkisch,-,-,Turkish,Ich spreche Türkisch. (I speak Turkish.),  
Turm,der,-e,tower,Der Turm ist sehr alt. (The tower is very old.),Die Türme in dieser Stadt sind berühmt. (The towers in this city are famous.)  
Tüte,die,-n,bag,Ich habe eine Tüte Äpfel gekauft. (I bought a bag of apples.),Die Tüten sind biologisch abbaubar. (The bags are biodegradable.)  
typisch,-,-,typical,Das ist typisch deutsch. (That is typically German.),  
U-Bahn,die,-en,subway,Ich nehme die U-Bahn zur Arbeit. (I take the subway to work.),  
über (1),-,-,about (talk about something),Wir sprechen über das neue Projekt. (We talk about the new project.),  
über (2),-,-,above (position),Das Bild hängt über dem Sofa. (The picture hangs above the sofa.),  
über (3),-,-,about (gather info),Er informiert sich über die Wettervorhersage. (He gathers information about the weather forecast.),  
über (4),-,-,above (location),Das Flugzeug fliegt über die Stadt. (The airplane flies above the city.),  
überall,-,-,everywhere,Überall sind bunte Blumen zu sehen. (Flowers can be seen everywhere.),  
überlegen,-,-,to consider,Ich muss mir das Angebot gut überlegen. (I have to consider the offer carefully.),  
übernachten,-,-,to spend the night,Wir übernachten heute in einem Gasthaus. (We spend the night in a guesthouse today.),  
Überraschung,die,-en,surprise,Die Überraschung war ein voller Erfolg. (The surprise was a complete success.),Die Überraschungen am Geburtstag machten alle glücklich. (The surprises on the birthday made everyone happy.)  
Überraschungstag,der,-e,surprise day,Der Überraschungstag begann mit einem Frühstück im Bett. (The surprise day began with breakfast in bed.),Die Überraschungstage der letzten Woche waren unvergesslich. (The surprise days of last week were unforgettable.)  
Überschrift,die,-en,headline,Die Überschrift erklärt das Thema. (The headline explains the topic.),Die Überschriften sind fett gedruckt. (The headlines are printed in bold.)  
überweisen,-,-,to transfer (money),Ich überweise das Geld heute noch. (I’ll transfer the money today.),  
Übung,die,-en,exercise,Die Übung wiederholt den Wortschatz. (The exercise reviews the vocabulary.),Die Übungen im Buch sind sehr hilfreich. (The exercises in the book are very helpful.)  
Übungsbuch,das,-er,exercise book,Ich benutze ein neues Übungsbuch. (I am using a new exercise book.),Die Übungsbücher sind im Regal gestapelt. (The exercise books are stacked on the shelf.)  
Uhr (1),-,-,hour (time),Es ist jetzt zehn Uhr. (It is ten o’clock now.),  
Uhr (2),die,-en,clock,Die Uhr an der Wand geht genau. (The clock on the wall is accurate.),Die Uhren in den Schulen sind synchronisiert. (The clocks in the schools are synchronized.)  
Uhrzeit,die,-en,time,Bitte nenn mir die genaue Uhrzeit. (Please tell me the exact time.),Die Uhrzeiten der Züge stehen am Bahnsteig. (The train times are displayed on the platform.)  
Ukraine,die,(Sg.),Ukraine,Die Ukraine liegt in Osteuropa. (Ukraine is in Eastern Europe.),  
unhöflich,-,-,rude,Sei nicht so unhöflich zu deinen Gästen. (Don’t be so rude to your guests.),  
Uni,die,-s,university,Ich studiere an der Universität/Uni München. (I study at Munich University.),Die Universitäten/Unis in Deutschland sind weltweit bekannt. (The universities in Germany are known worldwide.)  
Unicafé,das,-s,university café,Das Unicafé hat leckeren Kuchen. (The university café has delicious cake.),Die Unicafés sind beliebte Treffpunkte. (The university cafés are popular meeting spots.)  
Universität,die,-en,university,Die Universität ist sehr groß. (The university is very large.),Die Universitäten bieten viele Studiengänge an. (The universities offer many degree programs.)  
uninteressant,-,-,uninteresting,Der Film war uninteressant. (The movie was uninteresting.),
uninteressante,-,-,uninteresting (plural),Die uninteressanten Themen wurden abgelehnt. (The uninteresting topics were rejected.),
uninteressante,-,-,uninteresting (feminine),Die uninteressante Diskussion zog sich in die Länge. (The uninteresting discussion dragged on.),
uninteressante,-,-,uninteresting (neuter),Das uninteressante Buch lag lange im Regal. (The uninteresting book sat on the shelf for a
unregelmäßig,-,-,irregular,Die Besprechungen finden unregelmäßig statt. (The meetings take place irregularly.),  
uns,-,-,us (reflexive pronoun),Er hat uns eine E-Mail geschickt. (He sent us an email.),  
unser,-,-,our,Unser Team arbeitet sehr effizient. (Our team works very efficiently.),Die Teams stellen ihre Projekte vor. (The teams present their projects.)  
unten,-,-,below,Der Keller befindet sich ganz unten. (The cellar is located at the very bottom.),  
unter (+ D.),-,-,under,Die Katze schläft unter dem Tisch. (The cat sleeps under the table.),  
Unterricht,der,(Sg.),lesson,Der Unterricht beginnt um acht Uhr. (The lesson starts at eight o’clock.),  
unterschreiben,-,-,to sign,Bitte unterschreibe hier. (Please sign here.),  
Unterschrift,die,-en,signature,Deine Unterschrift fehlt noch. (Your signature is still missing.),Die Unterschriften aller Teilnehmer sind erforderlich. (All participants’ signatures are required.)  
unterstreichen,-,-,to underline,Markiere und unterstreiche die wichtigsten Wörter. (Mark and underline the most important words.),  
Untersuchen,-,-,to investigate,Der Arzt muss den Patienten untersuchen. (The doctor must examine the patient.),  
unterwegs,-,-,on the way,Ich bin heute lange unterwegs. (I’m on the way for a long time today.),  
Urlaub,der,-e,vacation,Mein Urlaub beginnt nächste Woche. (My vacation starts next week.),Die Urlaube vergingen immer viel zu schnell. (The vacations always passed far too quickly.)  
Urlaubsnachricht,die,-en,vacation message,Ich hinterlasse eine kurze Urlaubsnachricht. (I leave a short vacation message.),Die Urlaubsnachrichten werden automatisch gesendet. (The vacation messages are sent automatically.)  
Urlaubsort,der,-e,holiday destination,Unser Urlaubsort heißt Marbella. (Our holiday destination is called Marbella.),Die Urlaubsorte im Süden sind gut besucht. (The holiday destinations in the south are well attended.)  
USA,die,-,USA,Die USA liegen westlich des Atlantiks. (The USA lie west of the Atlantic.),  
USB-Stick,der,-s,USB stick,Ich kopiere die Daten auf einen USB-Stick. (I copy the data onto a USB stick.),  
Variation,die,-en,variation,Diese Variation des Rezepts schmeckt köstlich. (This variation of the recipe tastes delicious.),Die Variationen der Melodie sind interessant. (The variations of the melody are interesting.)  
variieren,-,-,to vary,Wir variieren die Trainingsintensität. (We vary the training intensity.),  
Vater,der,-e,father,Mein Vater liest jeden Abend Zeitung. (My father reads the newspaper every evening.),Die Väter bringen ihre Kinder zur Schule. (The fathers bring their children to school.)  
verabreden,-,-,to arrange (meeting),Wir verabreden uns für morgen. (We arrange to meet tomorrow.),  
Verabredung,die,-en,appointment,Unsere Verabredung ist um drei Uhr. (Our appointment is at three o’clock.),Die Verabredungen für nächste Woche sind bestätigt. (The appointments for next week are confirmed.)  
verabscheiden,-,-,to decide,Nach langer Diskussion verabscheiden wir den Plan. (After a long discussion we decide on the plan.),  
Veranstaltung,die,-en,event,Die Veranstaltung hatte tausend Besucher. (The event had a thousand visitors.),Die Veranstaltungen im Sommer sind sehr beliebt. (The events in summer are very popular.)  
Verb,das,-en,verb,Das Verb „abholen“ ist trennbar. (The verb “abholen” is separable.),  
Verband,der,-e,association/band,Er ist Mitglied im Verband Deutscher Musiker. (He is a member of the Association of German Musicians.),Die Verbände vertreten die Interessen ihrer Mitglieder. (The associations represent their members’ interests.)  
verbinden (1),-,-,to connect (things),Bitte verbinde die Kabel richtig. (Please connect the cables correctly.),  
verbinden (2),-,-,to connect (people),Die Software verbindet uns mit Experten weltweit. (The software connects us with experts worldwide.),  
Verbot,das,-e,ban,Das Verbot betrifft das Rauchen im Gebäude. (The ban concerns smoking in the building.),Die Verbote werden streng kontrolliert. (The bans are strictly enforced.)  
verboten,-,-,forbidden,Das Betreten des Rasens ist verboten. (Entering the lawn is forbidden.),  
verdienen,-,-,to earn,Ich möchte mehr Geld verdienen. (I want to earn more money.),  
vereinbaren,-,-,to arrange/to agree,Wir vereinbaren einen neuen Termin. (We arrange a new appointment.),  
vergessen,-,-,to forget,Ich vergesse oft meine Schlüssel. (I often forget my keys.),  
vergleichen,-,-,to compare,Vergleiche die Preise online. (Compare the prices online.),  
verheiratet,-,-,married,Sie sind seit zehn Jahren verheiratet. (They have been married for ten years.),  
verkaufen,-,-,to sell,Wir verkaufen frisches Gemüse auf dem Markt. (We sell fresh vegetables at the market.),  
Verkäufer,der,-,salesman,Der Verkäufer berät mich beim Einkauf. (The salesman advises me when shopping.),  
Verkäuferin,die,-nen,saleswoman,Die Verkäuferin war sehr freundlich. (The saleswoman was very friendly.),Die Verkäuferinnen arbeiten in Schichten. (The saleswomen work in shifts.)  
verletzt,-,-,injured,Der verletzte Spieler musste ausgewechselt werden. (The injured player had to be substituted.),  
Verletzte,der/die,-n,injured person,Die Verletzten wurden ins Krankenhaus gebracht. (The injured persons were taken to the hospital.),  
vermieten,-,-,to rent,Wir vermieten unsere Wohnung an Urlauber. (We rent out our apartment to vacationers.),  
Vermieter,der,-,landlord,Der Vermieter erhöht die Miete nicht. (The landlord is not raising the rent.),  
Vermieterin,die,-nen,landlady,Die Vermieterin kümmert sich um Reparaturen. (The landlady takes care of repairs.),  
vermissen,-,-,to miss,Ich vermisse dich sehr. (I miss you a lot.),  
vermuten,-,-,to assume,Ich vermute, dass er zu spät kommt. (I assume he will be late.),  
Verpackung,die,-en,packaging,Die Verpackung schützt das Produkt. (The packaging protects the product.),Die Verpackungen sind umweltfreundlich. (The packagings are environmentally friendly.)  
verpassen,-,-,to miss,Ich habe den Zug knapp verpasst. (I narrowly missed the train.),  
verschieden,-,-,different,Wir haben verschiedene Optionen geprüft. (We examined different options.),  
Verspätung,die,-en,delay,Der Zug hat zehn Minuten Verspätung. (The train is ten minutes delayed.),Die Verspätungen im Berufsverkehr sind häufig. (Delays in rush hour are frequent.)  
verstehen,-,-,to understand,Ich verstehe die Aufgabe nicht. (I don’t understand the task.),  
versuchen,-,-,to try,Ich versuche, pünktlich zu sein. (I try to be punctual.),  
Vertrag,der,-e,contract,Der Vertrag wurde gestern unterschrieben. (The contract was signed yesterday.),Die Verträge sind vertraglich bindend. (The contracts are legally binding.)  
Verwandte,der/die,-n,relative,Die Verwandten treffen sich am Wochenende. (The relatives meet on the weekend.),  
verwenden,-,-,to use,Ich verwende gerne frische Kräuter. (I like to use fresh herbs.),  
Video,das,-s,video,Ich sehe mir ein Lernvideo an. (I watch a learning video.),Die Videos auf der Plattform sind informativ. (The videos on the platform are informative.)  
viel,-,-,much/many,Er hat viel Arbeit heute. (He has a lot of work today.),  
vielleicht,-,-,maybe,Vielleicht komme ich später vorbei. (Maybe I’ll stop by later.),  
vier,-,-,four,Wir sind zu viert im Team. (We are a team of four.),  
Viertel,das,-,quarter,Wir treffen uns um Viertel nach drei. (We meet at a quarter past three.),  
vierzehn,-,-,fourteen,Er wird vierzehn Jahre alt. (He turns fourteen years old.),  
vierzig,-,-,forty,Sie ist heute vierzig geworden. (She turned forty today.),  
Vokal,der,-e,vowel,Der Vokal „a“ ist offen. (The vowel “a” is open.),Die Vokale in diesem Wort sind lang. (The vowels in this word are long.)  
voll,-,-,full,Der Bus ist heute voll. (The bus is full today.),  
von (1),-,-,from,Der Brief ist von meiner Freundin. (The letter is from my friend.),  
von (2),-,-,of (profession),Er ist von Beruf Lehrer. (He is a teacher by profession.),  
vor (1),-,-,before,Vor dem Essen waschen wir uns die Hände. (Before eating we wash our hands.),  
vor (2),-,-,before (time),Wir treffen uns vor zwölf Uhr. (We meet before twelve o’clock.),  
vorbei sein,-,-,to be over,Der Film ist schon vorbei. (The movie is already over.),  
vorbereiten,-,-,to prepare,Ich bereite das Treffen vor. (I prepare the meeting.),  
vorgestern,-,-,the day before yesterday,Vorgestern war ich krank. (The day before yesterday I was sick.),  
vorher,-,-,before,Vorher musst du dich anmelden. (You have to register beforehand.),  
vorlesen,-,-,to read aloud,Er liest den Kindern eine Geschichte vor. (He reads a story aloud to the children.),  
Vorliebe,die,-n,preference,Ich habe eine Vorliebe für Schokolade. (I have a preference for chocolate.),Die Vorlieben der Teilnehmer sind verschieden. (The participants’ preferences are different.)  
Vormittag,der,-e,morning,Am Vormittag habe ich mehrere Termine. (In the morning I have several appointments.),Die Vormittage in der Bibliothek sind ruhig. (The mornings in the library are quiet.)  
vormittags,-,-,in the mornings,Vormittags arbeite ich im Büro. (In the mornings I work in the office.),  
Vorname,der,-n,first name,Mein Vorname ist Maria. (My first name is Maria.),  
vorne,-,-,in front,Die Kinder sitzen vorne im Bus. (The children sit in front of the bus.),  
Vorschlag,der,-e,suggestion,Dein Vorschlag gefällt mir. (I like your suggestion.),Die Vorschläge werden gleich besprochen. (The suggestions will be discussed soon.)  
vorspielen,(no article),(no plural),to play beforehand,Er spielt das Stück zur Probe vor. (He plays the piece beforehand as a rehearsal.),  
vorstellen,(no article),(no plural),to introduce,Ich möchte dir meinen Freund vorstellen. (I would like to introduce you to my friend.),  
Vorstellung,die,-en,introduction,Die Vorstellung war sehr interessant. (The introduction was very interesting.),Die Vorstellungen der Teilnehmer sind unterschiedlich. (The participants’ introductions are different.)
Vorurteil,das,-e,prejudice,Vorurteile sind oft unfair. (Prejudices are often unfair.),Die Vorurteile gegenüber Ausländern sind nicht gerechtfertigt. (The prejudices against foreigners are unjustified.)
Vorteil,der,-e,advantage,Der Vorteil dieser Methode ist ihre Einfachheit. (The advantage of this method is its simplicity.),Die Vorteile liegen auf der Hand. (The advantages are obvious.)
wählen,-,-,to choose,Ich wähle das rote Kleid. (I choose the red dress.),  
wandern,-,-,to hike,Wir wandern jeden Sonntag in den Bergen. (We hike in the mountains every Sunday.),  
Ware,die,-n,goods,Die Ware ist von hoher Qualität. (The goods are of high quality.),Die Waren wurden gestern geliefert. (The goods were delivered yesterday.)  
warm,-,-,warm,Mir ist heute warm. (I am warm today.),  
warten,-,-,to wait,Wir warten am Bahnhof auf den Zug. (We wait at the station for the train.),  
warum,-,-,why,Warum kommst du so spät? (Why are you so late?),  
was,-,-,what,Was soll dieses Wort bedeuten? (What is this word supposed to mean?),Was macht ihr heute Abend? (What are you doing this evening?)  
willkommen,-,-,welcome,Willkommen in meinem Haus! (Welcome to my house!),  
Wind,der,-e,wind,Der Wind weht stark heute. (The wind is blowing strongly today.),Die Winde in den Bergen sind kalt. (The winds in the mountains are cold.)  
windig,-,-,windy,Es ist heute sehr windig. (It is very windy today.),  
Winter,der,-,winter,Im Winter brauche ich Handschuhe. (I need gloves in winter.),  
Winterjacke,die,-n,winter jacket,Ich kaufe eine neue Winterjacke. (I am buying a new winter jacket.),  
wir,-,-,we,Wir gehen auf jeden Fall ins Kino. (We’re definitely going to the cinema.),Wir müssen das Zelt im Garten aufstellen. (We have to set up the tent in the garden.)  
wirklich (1),-,-,really,Das ist wirklich erstaunlich! (That is really amazing!),  
wissen,-,-,to know,Ich weiß die Antwort nicht. (I don’t know the answer.),  
WLAN,das,(no plural),Wi-Fi,Das WLAN funktioniert nicht. (The Wi-Fi isn’t working.),  
wo,-,-,where,Wo bist du jetzt? (Where are you now?),  
waschen,-,-,to wash,Ich wasche meine Haare zweimal pro Woche. (I wash my hair twice a week.),  
Woche,die,-n,week,Die Woche war sehr anstrengend. (The week was very exhausting.),In den nächsten Wochen haben wir viele Termine. (In the next weeks we have many appointments.)  
Waschmaschine,die,-n,washing machine,Die Waschmaschine ist kaputt. (The washing machine is broken.),Die Waschmaschinen stehen im Keller. (The washing machines are in the basement.)  
Wasser,das,(no plural),water,Ich trinke gern kaltes Wasser. (I like drinking cold water.),  
wechseln,-,-,to change,Ich wechsle den Raum. (I change the room.),  
Wechselpräposition,die,-en,changing preposition,Wechselpräpositionen haben Akkusativ oder Dativ. (Changing prepositions take accusative or dative.),  
wecken,-,-,to wake up,Bitte weck mich morgen um sieben. (Please wake me at seven tomorrow.),  
Weg,der,-e,way,Der Weg zur Schule ist kurz. (The way to school is short.),Die Wege im Park sind neu angelegt. (The paths in the park are newly laid out.)  
Wegbeschreibung,die,-en,directions,Die Wegbeschreibung ist sehr detailliert. (The directions are very detailed.),  
wegräumen,-,-,to clear away,Ich räume den Tisch weg. (I clear away the table.),  
weh tun,-,-,to hurt,Mein Rücken tut weh. (My back hurts.),  
weiblich,-,-,female,Die Endung „-in“ bezeichnet weiblich. (The ending “-in” denotes female.),  
Wochenende,das,-n,weekend,Am Wochenende fahre ich ans Meer. (I go to the sea on the weekend.),  
Wochentag,der,-e,weekday,Montag ist mein liebstes Wochentag. (Monday is my favorite weekday.),  
woher,-,-,from where,Woher kommst du? (Where do you come from?),  
wohin,-,-,to where,Wohin gehst du? (Where are you going?),  
wohnen,-,-,to live,Ich wohne in Berlin. (I live in Berlin.),  
Wohnfläche,die,-n,living space,Die Wohnfläche beträgt 80 Quadratmeter. (The living space is 80 square meters.),Die Wohnflächen sind unterschiedlich groß. (The living spaces vary in size.)  
Wohnform,die,-en,type of accommodation,Die Wohnform Studentenheim ist günstig. (The type of accommodation “dormitory” is affordable.),  
Wohnung,die,-en,apartment,Die Wohnung ist 45 qm groß. (The apartment is 45 square meters.),Die Wohnungen in dieser Straße sind modern. (The apartments on this street are modern.)  
Zeit,die,-en,time,Die Zeit vergeht schnell. (Time passes quickly.),  
Zeitangabe,die,-n,time specification,Die Zeitangabe war nicht korrekt. (The time specification was not correct.),Alle Zeitangaben sind in Minuten. (All time specifications are in minutes.)  
